,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
0,427,81,3,178,28,563,179,180,403,198,138,82,181,302,357,336,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,326,267,72,375,87,73,238,171,49,440,309,96,518,97,64,479,65,216,114,16,360,250,204,525,40,400,122,282,89,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,513,181,290,234,256,533,428,199,392,452,565,404,18,248,465,182,303,107,347,381,119,429,145,304,101,279,210,259,292,44,0,0,0,0,0,0,0,0,0,0,0
5,25,419,180,403,390,138,513,411,302,234,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,144,24,176,379,62,498,380,225,177,341,137,11,426,504,322,54,13,323,118,43,1,131,508,226,161,515,3,178,28,25,179,415,187,390,138,513,181,290,0,0,0
7,149,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,243,583,436,274,286,33,244,284,319,47,34,245,331,539,332,255,52,29,437,313,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,67,389,27,230,516,575,424,462,443,100,262,175,395,556,425,551,130,144,24,176,207,528,498,380,369,177,341,137,11,167,504,277,54,574,323,0,0,0,0,0,0
10,191,326,267,72,212,87,73,344,171,49,146,309,96,518,97,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,423,39,150,135,31,189,266,343,406,577,492,215,468,295,387,478,260,95,191,261,317,514,212,87,73,238,171,49,440,309,96,68,97,519,479,520,216,114,0,0,1
12,322,54,574,278,118,43,586,131,80,370,161,515,3,178,28,563,179,180,403,390,138,513,411,290,357,336,55,428,391,200,452,22,404,18,0,0,0,0,0,0,1
13,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,55,428,199,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,81,3,417,28,563,179,415,403,390,453,513,411,290,234,256,55,428,199,392,139,565,404,18,346,465,416,303,483,347,381,475,429,445,0,0,0,0,0,0,0,1
16,86,70,557,294,236,265,112,149,133,93,71,134,188,423,544,433,448,31,189,266,237,170,7,94,359,113,295,190,0,0,0,0,0,0,0,0,0,0,0,0,1
17,366,114,16,360,250,204,59,545,185,122,282,89,98,269,218,41,257,434,84,480,441,521,458,231,540,289,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,467,48,469,57,157,550,405,412,58,573,83,158,86,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,546,420,456,214,321,467,48,469,57,421,37,168,412,58,15,83,158,499,70,30,288,236,265,112,149,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,372,26,350,193,2,497,173,329,472,270,283,507,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,145,304,101,279,382,259,305,44,213,454,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,220,26,240,388,2,497,418,329,116,315,283,75,241,459,401,481,76,242,271,567,8,361,9,88,531,272,174,564,124,0,0,0,0,0,0,0,0,0,0,0,0
23,537,385,17,354,301,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,436,312,286,552,244,284,319,47,34,340,331,51,254,255,536,29,154,276,482,53,194,17,232,285,125,10,136,352,195,183,377,0,0,0,0,0,0,0,0,0,0
25,237,406,7,94,215,468,281,387,103,260,493,191,261,267,72,375,501,73,238,413,49,146,268,96,518,486,519,109,65,0,0,0,0,0,0,0,0,0,0,0,0
26,488,509,450,188,159,39,150,448,31,398,266,343,170,7,94,359,468,281,387,103,325,493,393,326,267,514,212,501,73,238,0,0,0,0,0,0,0,0,0,0,0
27,187,198,138,82,181,302,357,256,533,162,391,200,139,22,404,18,248,465,182,303,107,347,381,119,163,145,291,101,279,210,259,305,44,213,140,120,0,0,0,0,0
28,139,22,404,18,346,465,182,287,483,347,209,475,163,145,304,495,316,382,259,292,44,213,140,476,108,306,19,320,63,164,0,0,0,0,0,0,0,0,0,0,0
29,221,9,500,531,318,407,564,124,4,142,258,541,505,435,512,32,222,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,302,357,336,55,162,199,200,139,22,404,18,248,127,182,303,107,249,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,335,408,395,35,160,36,130,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,318,407,21,460,4,142,258,46,505,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,168,169,58,15,83,158,86,70,30,294,236,307,112,149,449,93,71,450,399,159,544,433,448,31,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
