"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73"
"day",-0.0251707154033649,-0.0330767391697351,-0.100960482967092,-0.0819680482990774,-0.044719945090291,0.0778670922174795,0.00772838581473961,0.0797002733018802,0.0163205532342316,0.0277669904818965,-0.0602615974122675,0.0681979124738211,0.0187207163202363,0.0573176912969633,0.0319079981049185,0.0561304242050853,-0.0226765663217059,-0.00150686944811895,0.00889895912622299,0.0407891557161857,-0.0370806472420609,0.0126775913931805,-0.0143164710346816,0.0858143361326969,0.0494236682582702,-0.00158453080521554,-0.065479234724479,0.00348291664467205,-0.0476149419395534,0.0577331986020246,0.0365167348428714,0.00367409809693387,0.0478606161298288,-0.00187415776786615,0.102592602216196,0.0452568956620934,-0.0172786715298419,-0.0416331872260432,0.0363516530765554,0.0688348011212384,0.00846577111393391,0.0743203280116115,0.000764312955997711,-0.0278081022780106,0.0534640011145499,0.102353700911192,0.134058532922449,0.0695128758640525,-0.0181817920769931,-0.113710629406537,0.0229522515220413,-0.0179663745889519,0.0389134096337545,0.0420799428900793,0.0140991438729356,-0.0158740386570965,0.00355420580423912,0.0457957634805818,-0.0120176260482549,-0.0696198920560875,-0.0743397108211536,0.000311443378351214,0.00597760724453778,-0.0150696280050388,0.0560041182676339,-0.0582504872139728,0.0821396701760436,-0.0688046246778035,-0.0019904436525506,0.0641488052602773,0.495093437006975,-0.0770589364184899,-0.0445845622576698
"squeal",-0.0468275141026969,0.0291015489541282,-0.0496498273249567,0.0858700483754933,-0.00566308361048857,-0.101070130049006,-0.0464471552958042,-0.0433676149020917,0.075137818442116,-0.0475769040513092,0.0115397018778394,-0.0226372391149751,-0.043784415758348,0.00105673935374936,0.0220277689231613,0.0206847599896342,-0.00903388666366307,-0.0743256656207192,0.142518415171917,-0.0652612424741186,0.0268103366775728,-0.124433029347372,-0.0862240041442501,0.036155123219484,-0.0959904417129317,0.0210534582283261,-0.0238085829914106,-0.0112298592452386,0.0385315402928297,-0.159604093560665,0.094196414652271,-0.143152230680921,-0.0182877040280582,-0.0825387783390372,-0.0236191102901901,0.0529615844607276,0.0132927075904734,0.0254114084797086,-0.031911993643229,0.00161787876427729,-0.00648253388398205,0.00165693441801032,0.0508540649999946,-0.00217612231388873,0.0161337822263221,-0.063547257364285,-0.0238786997893529,0.0850737354636249,-0.00479089552836838,0.0533101386034994,0.00632470676250527,-0.030920016812262,-0.0193831546889038,-0.0919810016657579,0.048975749242081,-0.0719629320248073,-0.0415912163180984,-0.000369943686197989,0.0484932412383428,-0.00302901344849432,-0.0263928929342053,0.0359717211348625,0.0144213698768299,-0.0140964853132222,-0.0485007052409873,-0.050712134340105,-0.0151750323202706,-0.0218873582089338,0.00954269697786051,-0.0419655519260211,0.104433289402458,-0.000464373056197004,-0.0118838874447981
"shoe",-0.0584368933480777,0.0152850937729032,0.0610774959982739,-0.0864293931990423,0.00588271560307079,-0.0224632080450248,-0.0296171729259053,0.0173148517586227,0.041203682544647,0.0314330097104826,-0.0982761095699398,0.0415508329944919,0.0480255450734657,-0.0800748648459822,0.0493801972708998,-0.0263575235561284,0.0222870370431212,0.126328667993408,0.0410112447438979,0.103986502453279,-0.0556396505935582,0.177313771797835,-0.000621200387632382,0.0208990209577998,-0.00531254850105533,-0.0095602181990133,0.000683471401169917,-0.0424389942442675,-0.0281941024183647,0.0605037723041032,-0.00892654968992137,0.0219958454610757,0.158247502754624,-0.00708593280933279,-0.0798654228647836,0.0297029663508613,-0.0195256938623417,0.0209632735782492,0.0231574489037616,0.0144609735068808,0.0721772493498485,-0.0298011040508859,-0.102011082779656,0.0680150808695608,-0.0489365461869908,-0.0503522359315198,-0.0536357489911757,-0.0465015427525441,0.0940282378141787,0.111756683440198,-0.0206713997805838,-0.000948177900480133,-0.0408545837108845,-0.0108550062895816,0.0419029720923789,0.0278129853410293,0.0700576682920569,-0.0339731743658404,-0.152653110051409,-0.0752693037558912,0.084550559822635,-0.0561496249495987,0.0492312951592998,0.0587871160180307,-0.0881605874558701,-0.0195400095286664,0.0141797326370941,0.0119134366725964,0.034848213208587,-0.0296430780928157,0.030163567938677,0.0212039019811143,0.0121602113425768
"someone",-0.0185888079539299,0.0131429440669337,0.0220225694067388,0.041235445859845,-0.0779354640830256,-0.0482307781415579,0.0269308637606481,0.124251928618165,0.0647306647944016,-0.0155875695608084,-0.0281901657099057,-0.12491165182012,0.00423262699673602,-0.0981311511775483,0.0232875186846203,-0.0117032652770415,-0.0830778272853424,-0.032682842370076,-0.0147343291339136,0.0675888034031594,0.094858481331106,0.0557250242388337,0.0747850919936414,-0.00617319029021999,0.000819555718032064,-0.0248541129058647,0.0719208006745018,-0.116376545522188,-0.0404531258598806,0.132260260353958,-0.0426062325631923,-0.0785227334893374,0.0412605865479636,0.0070306846668242,0.099797831502237,-0.0259890600520307,0.024488825497993,0.0152055313475814,0.00209982547941731,-0.0817734760945516,-0.0558231164915503,-0.140193440063606,0.0673214019857349,0.0731890944896139,-0.0934934151340325,-0.038743959324156,-0.0097746023168145,0.0215973730012643,0.0088991453540605,-0.0299142433711157,0.102488043457483,-0.00353004606460455,0.045100141523724,-0.0153591664715772,-0.033276252002447,0.0091803402471561,-0.0273607010870078,0.134190075501411,0.0571001895411482,-0.0573978203861156,-0.0275628113376256,0.0030281631519408,-0.0465860393371789,-0.103174289697159,0.0333113247807256,-0.030079829934255,0.0457937151760116,-0.0766011359806307,-0.0114026300431634,-0.0585397400427707,0.128921569427251,0.0234403381564629,-0.0915975153568834
"election",-0.0928051652307924,0.00513383094731539,-0.0659841319941829,-0.0656561791748241,-0.0327394139420808,-0.0478216315975827,0.0478508618036811,-0.00176474609997365,-0.092400351671821,0.0400092193200797,0.0623955362578954,-0.0879169747849595,0.0603122057982775,0.058430417808854,-0.060842852626914,0.0173972083857972,0.124229370440776,0.0126099470474216,-0.00167262066661475,0.0361928525146067,-0.0924631486659785,-0.0471771360996041,-0.0469687820312433,-0.0595602892641475,0.0755565056092204,0.0498967067736647,0.00431310771657279,0.108977244520527,0.061828866430346,-0.0308081763613959,-0.012033811990141,0.0351391983878183,0.0291256296025294,0.0123408255089021,-0.0556560489151005,0.0974679805493937,-0.119786386827049,0.0406345369995574,0.018156748288797,-0.0315433552275722,-0.00614894165223263,-0.0515500363904789,-0.00421087427506341,-0.0987983910889559,0.0497706980863339,0.00775140839475074,0.0318897180451434,0.0172347218815964,0.0368826129143517,0.0730853027707941,0.138690854016112,-0.0202122696396126,-0.00555270523594213,0.0147822954903197,0.0394191760647575,0.0417074580849791,-0.065214895583995,-0.0842488095156391,-0.0273915135110417,0.00454792306940376,-0.0764778320137557,-0.0397192607474111,-0.0374012380830014,-0.0428183591958668,0.0522065733537844,-0.0567482344397592,-0.0143701047844462,-0.00861120883545108,-0.0207177404844313,-0.0247368167171277,-0.0298051305429134,-0.0652578921333253,-0.015627814773853
"girlfriend",-0.0267923590950894,-0.0325580121779904,-0.0534306240837014,0.0841461739467602,-0.0067221477222951,0.00164333921787994,0.0272552602298029,-0.0504959509374384,-0.103228620630561,0.0181671470840974,0.0800405624148075,-0.0593265841443467,0.109683377838911,-0.0748314502695747,-0.0189707719154973,-0.101501043917157,0.0751561269981526,0.0422895499926693,-0.0823625439077159,0.0475812369582031,-0.0338835821345695,-0.00823792119103785,-0.030459097114501,0.196206978798377,-0.00735946117660976,-0.00638829383826922,0.0119537702959597,-0.0868656359331558,-0.073986255279057,-0.0384422943669377,-0.0374936056167411,-0.110070408293157,0.000174982288162959,0.0137451835034742,-0.00141469387161523,-0.0312386649771259,-0.0207071733502494,-0.0117826496043342,0.0403858340177779,-0.0389992869153493,0.00280051980741802,0.034374385598322,-0.02452794983399,-0.0261109539783707,0.061175713681063,-0.026301185982553,0.0124346367222065,0.0405664072512858,-0.0399646702910796,0.0747197794251052,-0.0550341498847045,0.00322053215836462,-0.00979734472827869,0.0294542317808225,-0.0869716902859848,0.0484316489262223,0.0868467947998421,0.000735229645758307,0.00736335149865537,0.0315813285341387,0.00605670798915707,0.127618771404202,-0.0207364352055129,-0.0196713755280754,-0.0933635138290965,-0.0907542396515769,0.0765915530209973,-0.159754349953517,-0.0729899780204269,0.14184667403254,-0.0741968679691157,0.0518198157253835,0.00677483112993605
"wealth",-0.0576866476367655,0.0181842556112571,0.041427635334125,-0.0671849355814474,-0.0574394387085705,0.0966260311647716,0.0199115947022938,0.135668514053956,-0.0457333888081481,0.0368964185696297,-0.0311891458325669,0.0956291221118678,-0.057413913330306,0.00999023467650933,0.0387174702110292,0.0738303790413152,-0.10458004037965,0.0186699297065327,0.0580673028477452,0.00816540102136696,0.0158392062331495,-0.0766855886117657,-0.0406029101571322,0.0301716869358758,0.0620341067668638,-0.0806358829927355,0.0744873351159469,-0.0508333595865067,-0.0502329955196817,-0.111204145231832,0.0322592769434757,-0.0901028603033254,0.0359980887453999,0.0743678734011478,0.00896390958008352,-0.0101325606601535,0.0552756096177816,0.00827662760539157,-0.0326237124111733,-0.0566480080945124,0.0251568087307316,-0.00823137575716529,0.00923939727021208,-0.0279257828682102,-0.00716674943257804,0.0915662878906026,0.00743649058092169,0.0345224261056025,0.139622306998006,-0.0554866288992174,-0.0287622224440447,0.071799057777732,0.0867615174590737,0.0535342071175169,0.0382367962347635,-0.016443807358146,0.132914958787123,0.0309326095413764,-0.0511720687456344,0.0332976333436895,-0.0450505850143708,0.091746149061327,0.0352098082501054,-0.00181083820360744,0.0634275024529746,0.04695750489744,-0.0513886058239434,0.0794340335666357,-0.096757159627519,0.105742874726395,0.063115247210546,0.0634741471760856,-0.0509774268654361
"routine",-0.0757593578726228,-0.0383629394842203,-0.0603936040413657,0.0466935327940674,0.0351198274154058,0.0918349005517332,-0.0125123635153307,0.0241649156782199,0.0826418648548087,0.0146470573350694,0.0246668981555277,0.00750345397751498,0.0931621002159894,0.0179763029766095,-0.0268666864815528,-0.0618136388818706,0.00348698024709385,0.0287559908955439,-0.0388395980467047,-0.0683065689729373,0.00885781451292965,-0.023344801731662,0.0451704942491378,-0.0710260153287936,-0.0778807841780983,-0.0623123243640486,0.00992339589400273,0.0188255636557099,0.0296568588805581,0.0220809218683859,0.0340645258359954,0.0410772049246755,-0.0894984125655372,0.0141726039830843,-0.0700071790489132,0.0781474396666824,-0.015256015117285,0.00105612295517344,-0.0323480953681058,-0.0121154208507422,0.0278396043817038,0.073057849039104,-0.0865747214643423,-0.17164418323446,0.0177758525065674,0.00886719241161152,0.0348600276424399,0.0152139326780832,0.102639801981283,0.10007651762571,-0.0231751505706142,-0.0841088052676663,-0.0375708346361357,-0.0174787536353294,-0.0563460491418933,-0.0488707521348167,-0.116275725730035,-0.017663404953548,-0.102659659012873,-0.0560712036399182,0.0448835056974055,-0.0632361162910695,-0.0819150780394751,-0.0428666219103465,0.0560255648698172,0.0370941417299473,0.121966752291215,0.00871761926736391,0.0106573723999734,0.0889775373205343,0.167980724377092,-0.0383309647512456,-0.0985242729898292
"chicken",-0.0228571835884903,0.0133402635729845,0.059777899905773,0.0802885384082967,0.0959440136679852,-0.0658268500676645,0.0390150722103936,-0.015902335209693,-0.0311771078286626,-0.0621687196323883,-0.0830966416548843,0.0999662407028391,0.00203305617852229,-0.00358984426322514,0.135409256581141,-0.0191497031051423,-0.00921939629569428,0.0100153464674508,-0.0737685826906858,0.00402371320531518,-0.040593103209884,-0.10284018371701,0.153101155036996,-0.04161391594143,0.00887775850322444,0.0398707147125486,-0.0119610128089385,0.0571271798793039,-0.0272441201863294,-0.0723974840954828,0.0812329584677623,0.0273251785466006,0.0129345731557971,0.0245590106180011,0.0532706674010817,0.00711333578903066,-0.0342539086138456,0.0287706366102111,0.0439448994818584,-0.0242449185249978,0.0318500721735228,-0.0565206094442757,0.0196834328416164,0.0579178518503835,-0.0911881171486797,-0.0358225804298054,-0.0518157847661078,-0.143967784849453,-0.0192179217925992,-0.0235945623298643,0.0291834881101312,-0.101672033184754,0.0350510008827136,-0.0423454030120851,0.0347676816371144,-0.105662628642234,0.00904402327393322,-0.101161700526161,0.0260747755671597,0.0168420638691238,0.0732533507100359,0.0646129898570466,-0.0722951278331628,-0.0463191641882294,0.0689734208406701,-0.00253941071468162,-0.0274041330919678,0.0165680340382351,-0.119301390190479,0.200840260355923,0.133426391168409,0.053211016921407,0.0992395136810751
"tourist",-0.0287447005764244,0.0223059189495376,0.107446702362389,-0.0629349019701313,0.0365669161719535,-0.0964752545066049,0.0317216493975712,0.0160110609262039,0.131918894022298,-0.0435879864734222,0.0511146318941057,-0.121369299670697,0.0429373699642897,0.0495438560977283,0.0577023686860441,-0.0109058286800433,-0.0034287092468853,0.14137223598662,0.03193679457987,-0.000612106713727714,0.019035791843576,-0.0897925783249103,-0.0426017064762517,0.0367113594459157,0.049748041436099,0.00163011903235739,-0.0705341684222458,-0.0580074894374947,-0.00912181435110763,0.00955731676838082,0.0139872882612467,-0.0696919956027138,0.00203033261745812,-0.00240561751227077,-0.00813723403029748,-0.0361855893588034,-0.0723898585918173,-0.0267965256037012,0.00326390405557036,0.0096245402845234,-0.0394332592145983,0.0330993796575939,-0.115431034967656,0.0717115850782334,0.0541726897460944,0.00753818233229288,0.0629344548380772,0.0255354792509713,0.107685282303895,-0.0625363585775263,-0.053872975019165,0.0160082782591896,0.0497346879137298,-0.0193842862980101,-0.115489523248498,-0.0786856990291802,0.0165119893208329,-0.0553128056542769,-0.042226087344459,-0.00885584026856054,-0.0599985890614649,-0.0321821198304402,-0.107738453577019,-0.0674547151834682,0.0650705106855094,0.0111859805789062,0.0236064258359389,-0.0321780951065781,0.0131562869075991,0.0372996365639561,-0.174474652978205,-0.000193939378059093,0.0707254350977688
