,target,features,encoder,model,base_cv_score_train,base_cv_SD_train,base_cv_SE_train,base_score_train,base_auc_train,base_score_test,base_auc_test,base_perm_acc_train,base_perm_score_train,base_perm_pval_train,base_perm_acc_test,base_perm_score_test,base_perm_pval_test
0,"29    0
62    1
36    0
45    0
8     1
0     0
70    0
60    1
56    0
51    0
25    0
40    1
2     0
30    1
61    1
72    0
39    1
4     1
50    0
6     0
23    1
3     1
13    0
19    1
28    0
64    0
46    0
66    0
16    1
24    0
34    1
21    1
49    0
32    0
44    1
43    0
54    0
55    1
1     0
69    1
71    0
63    1
57    0
42    0
14    0
22    0
68    1
48    0
27    0
7     1
5     1
17    0
12    1
9     1
37    1
53    1
52    0
65    0
Name: dep_group, dtype: int64",raw_words,ordinal,LR,0.566060606060606,0.11674574258355888,0.023830624914336067,1.0,1.0,0.6666666666666666,0.638888888888889,0.566060606060606,"[0.55818182 0.61393939 0.46090909 0.52363636 0.48757576 0.59212121
 0.55151515 0.59333333 0.49666667 0.37606061 0.43727273 0.47121212
 0.5230303  0.48424242 0.55242424 0.59909091 0.41909091 0.5530303
 0.54121212 0.56484848 0.52848485 0.55242424 0.61       0.59030303
 0.4769697  0.57606061 0.58060606 0.59090909 0.51272727 0.39212121
 0.54212121 0.44181818 0.41969697 0.55121212 0.4930303  0.39666667
 0.5        0.44909091 0.50636364 0.50939394 0.51727273 0.54515152
 0.51606061 0.50181818 0.52454545 0.43878788 0.60636364 0.42969697
 0.47454545 0.54121212 0.52060606 0.63727273 0.56363636 0.52454545
 0.53545455 0.42333333 0.52121212 0.61939394 0.46121212 0.52484848
 0.58666667 0.60606061 0.61787879 0.52757576 0.52848485 0.46181818
 0.49       0.45454545 0.50636364 0.4769697  0.46848485 0.5269697
 0.46454545 0.4069697  0.55333333 0.41969697 0.37575758 0.59030303
 0.42454545 0.47848485 0.52878788 0.57121212 0.56818182 0.52424242
 0.49666667 0.41121212 0.58242424 0.59393939 0.5269697  0.4430303
 0.42757576 0.57121212 0.44757576 0.63242424 0.50515152 0.51666667
 0.56575758 0.45636364 0.53060606 0.51060606]",0.22772277227722773,0.7999999999999998,"[0.50666667 0.45333333 0.6        0.68       0.57333333 0.29333333
 0.54666667 0.57333333 0.42666667 0.4        0.6        0.53333333
 0.66666667 0.64       0.64       0.46666667 0.56       0.50666667
 0.33333333 0.56       0.34666667 0.57333333 0.73333333 0.57333333
 0.45333333 0.61333333 0.58666667 0.44       0.41333333 0.54666667
 0.56       0.65333333 0.6        0.44       0.72       0.82666667
 0.42666667 0.56       0.72       0.57333333 0.36       0.32
 0.61333333 0.32       0.54666667 0.44       0.54666667 0.65333333
 0.73333333 0.57333333 0.36       0.57333333 0.52       0.16
 0.36       0.58666667 0.57333333 0.69333333 0.38666667 0.36
 0.26666667 0.28       0.76       0.52       0.50666667 0.54666667
 0.41333333 0.17333333 0.54666667 0.37333333 0.54666667 0.6
 0.64       0.61333333 0.46666667 0.46666667 0.68       0.52
 0.50666667 0.48       0.46666667 0.37333333 0.54666667 0.64
 0.46666667 0.48       0.42666667 0.46666667 0.50666667 0.21333333
 0.58666667 0.42666667 0.50666667 0.54666667 0.56       0.45333333
 0.46666667 0.38666667 0.41333333 0.42666667]",0.019801980198019802
1,"29    0
62    1
36    0
45    0
8     1
0     0
70    0
60    1
56    0
51    0
25    0
40    1
2     0
30    1
61    1
72    0
39    1
4     1
50    0
6     0
23    1
3     1
13    0
19    1
28    0
64    0
46    0
66    0
16    1
24    0
34    1
21    1
49    0
32    0
44    1
43    0
54    0
55    1
1     0
69    1
71    0
63    1
57    0
42    0
14    0
22    0
68    1
48    0
27    0
7     1
5     1
17    0
12    1
9     1
37    1
53    1
52    0
65    0
Name: dep_group, dtype: int64",raw_words,ordinal,RF,0.5842424242424243,0.10812535662664055,0.022070995999310762,1.0,1.0,0.6,0.5277777777777778,0.5842424242424243,"[0.55090909 0.57484848 0.55242424 0.5169697  0.50151515 0.59393939
 0.52060606 0.53060606 0.52727273 0.46939394 0.56151515 0.53757576
 0.50333333 0.52606061 0.57575758 0.53393939 0.49606061 0.54121212
 0.56363636 0.56242424 0.55181818 0.53606061 0.60727273 0.60575758
 0.52727273 0.55545455 0.60212121 0.58151515 0.51969697 0.50333333
 0.56515152 0.54909091 0.48424242 0.52969697 0.54727273 0.50363636
 0.54       0.51424242 0.49606061 0.52151515 0.55818182 0.53090909
 0.51212121 0.53484848 0.59212121 0.48969697 0.53484848 0.54484848
 0.49666667 0.53060606 0.52575758 0.61606061 0.54060606 0.56242424
 0.53666667 0.48606061 0.51090909 0.61818182 0.52939394 0.57666667
 0.58939394 0.61       0.54090909 0.55242424 0.54878788 0.49
 0.46848485 0.48575758 0.53272727 0.51878788 0.47151515 0.53666667
 0.48878788 0.4969697  0.58030303 0.57151515 0.49090909 0.57636364
 0.50393939 0.53030303 0.56515152 0.55242424 0.55242424 0.59181818
 0.56515152 0.49272727 0.54727273 0.64333333 0.47727273 0.54181818
 0.5130303  0.62       0.48636364 0.60575758 0.47757576 0.53727273
 0.56090909 0.49818182 0.46818182 0.54757576]",0.13861386138613863,0.7466666666666666,"[0.62666667 0.58666667 0.69333333 0.58666667 0.50666667 0.49333333
 0.62666667 0.57333333 0.57333333 0.50666667 0.52       0.50666667
 0.56       0.54666667 0.64       0.52       0.64       0.57333333
 0.48       0.58666667 0.57333333 0.50666667 0.61333333 0.58666667
 0.48       0.65333333 0.61333333 0.38666667 0.53333333 0.52
 0.64       0.73333333 0.64       0.64       0.68       0.72
 0.46666667 0.53333333 0.69333333 0.56       0.53333333 0.54666667
 0.49333333 0.53333333 0.45333333 0.45333333 0.57333333 0.58666667
 0.69333333 0.53333333 0.48       0.56       0.54666667 0.46666667
 0.46666667 0.57333333 0.61333333 0.65333333 0.58666667 0.53333333
 0.53333333 0.52       0.68       0.68       0.54666667 0.46666667
 0.58666667 0.49333333 0.49333333 0.48       0.54666667 0.50666667
 0.62666667 0.53333333 0.45333333 0.57333333 0.65333333 0.64
 0.58666667 0.50666667 0.52       0.48       0.53333333 0.64
 0.45333333 0.50666667 0.4        0.50666667 0.56       0.49333333
 0.56       0.54666667 0.58666667 0.61333333 0.61333333 0.58666667
 0.57333333 0.56       0.54666667 0.54666667]",0.009900990099009901
2,"29    0
62    1
36    0
45    0
8     1
0     0
70    0
60    1
56    0
51    0
25    0
40    1
2     0
30    1
61    1
72    0
39    1
4     1
50    0
6     0
23    1
3     1
13    0
19    1
28    0
64    0
46    0
66    0
16    1
24    0
34    1
21    1
49    0
32    0
44    1
43    0
54    0
55    1
1     0
69    1
71    0
63    1
57    0
42    0
14    0
22    0
68    1
48    0
27    0
7     1
5     1
17    0
12    1
9     1
37    1
53    1
52    0
65    0
Name: dep_group, dtype: int64",raw_words,ordinal,NB,0.5993939393939394,0.10810412285112195,0.022066661673032985,0.896551724137931,0.8945454545454545,0.6,0.638888888888889,0.5993939393939394,"[0.52121212 0.53848485 0.55515152 0.50909091 0.42636364 0.66484848
 0.60878788 0.56666667 0.52333333 0.41818182 0.54848485 0.42393939
 0.47575758 0.48666667 0.52090909 0.52060606 0.43121212 0.55545455
 0.5369697  0.54848485 0.49515152 0.55242424 0.55575758 0.59666667
 0.42515152 0.55272727 0.50272727 0.53181818 0.58545455 0.38242424
 0.60787879 0.42454545 0.48575758 0.54090909 0.54545455 0.35181818
 0.57848485 0.43151515 0.47606061 0.51272727 0.5369697  0.50848485
 0.54       0.49969697 0.58242424 0.43757576 0.59181818 0.47484848
 0.50484848 0.51757576 0.45666667 0.68969697 0.48727273 0.57151515
 0.53121212 0.46818182 0.48575758 0.59575758 0.5169697  0.47818182
 0.61030303 0.6069697  0.57909091 0.52030303 0.51333333 0.4230303
 0.39909091 0.40939394 0.48151515 0.46363636 0.50090909 0.52363636
 0.42090909 0.38212121 0.57666667 0.53727273 0.47848485 0.53575758
 0.50060606 0.53333333 0.57818182 0.52060606 0.57666667 0.48393939
 0.55484848 0.50666667 0.5330303  0.53424242 0.51212121 0.42818182
 0.45666667 0.65       0.53878788 0.65333333 0.50757576 0.61969697
 0.54030303 0.46181818 0.47606061 0.48060606]",0.09900990099009901,0.6133333333333334,"[0.58666667 0.6        0.6        0.6        0.52       0.61333333
 0.6        0.6        0.53333333 0.58666667 0.62666667 0.58666667
 0.6        0.62666667 0.6        0.53333333 0.58666667 0.6
 0.57333333 0.56       0.58666667 0.6        0.61333333 0.54666667
 0.49333333 0.58666667 0.62666667 0.57333333 0.57333333 0.57333333
 0.58666667 0.65333333 0.64       0.6        0.58666667 0.6
 0.52       0.54666667 0.62666667 0.58666667 0.58666667 0.6
 0.57333333 0.6        0.58666667 0.54666667 0.52       0.62666667
 0.57333333 0.56       0.58666667 0.58666667 0.6        0.57333333
 0.6        0.6        0.57333333 0.62666667 0.6        0.58666667
 0.6        0.57333333 0.65333333 0.61333333 0.6        0.58666667
 0.61333333 0.6        0.46666667 0.50666667 0.61333333 0.62666667
 0.61333333 0.58666667 0.6        0.61333333 0.57333333 0.54666667
 0.56       0.58666667 0.6        0.57333333 0.6        0.58666667
 0.56       0.58666667 0.57333333 0.46666667 0.61333333 0.6
 0.52       0.6        0.50666667 0.6        0.61333333 0.6
 0.6        0.56       0.58666667 0.6       ]",0.1485148514851485
3,"29    0
62    1
36    0
45    0
8     1
0     0
70    0
60    1
56    0
51    0
25    0
40    1
2     0
30    1
61    1
72    0
39    1
4     1
50    0
6     0
23    1
3     1
13    0
19    1
28    0
64    0
46    0
66    0
16    1
24    0
34    1
21    1
49    0
32    0
44    1
43    0
54    0
55    1
1     0
69    1
71    0
63    1
57    0
42    0
14    0
22    0
68    1
48    0
27    0
7     1
5     1
17    0
12    1
9     1
37    1
53    1
52    0
65    0
Name: dep_group, dtype: int64",raw_words,ordinal,SVM,0.6151515151515151,0.11794848761229433,0.02407613421525864,1.0,1.0,0.6,0.5833333333333334,0.6151515151515151,"[0.59121212 0.60212121 0.58606061 0.4830303  0.46333333 0.59666667
 0.57242424 0.55545455 0.54060606 0.47       0.50969697 0.49939394
 0.53666667 0.49545455 0.53909091 0.58151515 0.40484848 0.59030303
 0.54545455 0.53121212 0.53757576 0.51424242 0.57363636 0.59969697
 0.46909091 0.56121212 0.5869697  0.56060606 0.54272727 0.37181818
 0.52848485 0.47727273 0.49818182 0.56212121 0.50333333 0.4169697
 0.58939394 0.52787879 0.5        0.49212121 0.55454545 0.5
 0.55151515 0.49848485 0.63030303 0.46515152 0.53272727 0.5069697
 0.50969697 0.51       0.53848485 0.58909091 0.51030303 0.52151515
 0.52       0.42272727 0.52484848 0.63424242 0.56424242 0.54121212
 0.6        0.60636364 0.56818182 0.55818182 0.51757576 0.46787879
 0.48212121 0.44757576 0.52272727 0.43393939 0.47575758 0.54454545
 0.49757576 0.48666667 0.5569697  0.51333333 0.44424242 0.56939394
 0.5030303  0.50606061 0.50787879 0.56848485 0.53939394 0.59969697
 0.54787879 0.47454545 0.53727273 0.6        0.46454545 0.45818182
 0.42454545 0.63090909 0.46606061 0.63818182 0.45393939 0.46515152
 0.54818182 0.45575758 0.47909091 0.50272727]",0.04950495049504951,0.7466666666666666,"[0.61333333 0.65333333 0.64       0.61333333 0.52       0.52
 0.48       0.62666667 0.57333333 0.54666667 0.58666667 0.52
 0.56       0.62666667 0.70666667 0.46666667 0.57333333 0.58666667
 0.41333333 0.61333333 0.57333333 0.56       0.65333333 0.57333333
 0.49333333 0.61333333 0.54666667 0.29333333 0.48       0.58666667
 0.48       0.64       0.65333333 0.58666667 0.70666667 0.72
 0.24       0.57333333 0.68       0.57333333 0.49333333 0.42666667
 0.54666667 0.46666667 0.33333333 0.37333333 0.61333333 0.61333333
 0.72       0.58666667 0.52       0.58666667 0.57333333 0.32
 0.50666667 0.62666667 0.57333333 0.65333333 0.56       0.58666667
 0.46666667 0.4        0.70666667 0.69333333 0.46666667 0.52
 0.53333333 0.54666667 0.48       0.52       0.6        0.44
 0.57333333 0.6        0.45333333 0.6        0.62666667 0.61333333
 0.6        0.58666667 0.53333333 0.57333333 0.52       0.66666667
 0.44       0.57333333 0.44       0.52       0.50666667 0.44
 0.65333333 0.6        0.57333333 0.64       0.56       0.57333333
 0.49333333 0.54666667 0.54666667 0.54666667]",0.009900990099009901
4,"29    0
62    1
36    0
45    0
8     1
0     0
70    0
60    1
56    0
51    0
25    0
40    1
2     0
30    1
61    1
72    0
39    1
4     1
50    0
6     0
23    1
3     1
13    0
19    1
28    0
64    0
46    0
66    0
16    1
24    0
34    1
21    1
49    0
32    0
44    1
43    0
54    0
55    1
1     0
69    1
71    0
63    1
57    0
42    0
14    0
22    0
68    1
48    0
27    0
7     1
5     1
17    0
12    1
9     1
37    1
53    1
52    0
65    0
Name: dep_group, dtype: int64",raw_words,ordinal,XGBoost,0.5696969696969697,0.8631825732427962,,1.0,1.0,0.6666666666666666,0.638888888888889,,,,,,
5,"29    0
62    1
36    0
45    0
8     1
0     0
70    0
60    1
56    0
51    0
25    0
40    1
2     0
30    1
61    1
72    0
39    1
4     1
50    0
6     0
23    1
3     1
13    0
19    1
28    0
64    0
46    0
66    0
16    1
24    0
34    1
21    1
49    0
32    0
44    1
43    0
54    0
55    1
1     0
69    1
71    0
63    1
57    0
42    0
14    0
22    0
68    1
48    0
27    0
7     1
5     1
17    0
12    1
9     1
37    1
53    1
52    0
65    0
Name: dep_group, dtype: int64",raw_words,binary,LR,0.5936363636363636,0.09403416529338814,0.01919464361311101,1.0,1.0,0.5333333333333333,0.5,0.5936363636363636,"[0.55969697 0.57909091 0.43       0.49606061 0.43363636 0.58515152
 0.55212121 0.54212121 0.49939394 0.38575758 0.52727273 0.45727273
 0.52060606 0.49484848 0.5669697  0.58575758 0.44       0.55636364
 0.5269697  0.5069697  0.50090909 0.53393939 0.61333333 0.55575758
 0.42181818 0.56151515 0.60545455 0.56727273 0.48242424 0.40575758
 0.50424242 0.45848485 0.43181818 0.53121212 0.51666667 0.39636364
 0.53212121 0.44878788 0.47121212 0.51393939 0.48272727 0.53363636
 0.51575758 0.49878788 0.50090909 0.44121212 0.58454545 0.53484848
 0.45727273 0.56878788 0.50030303 0.59939394 0.53636364 0.50333333
 0.52575758 0.44787879 0.51848485 0.58515152 0.45666667 0.57757576
 0.61151515 0.65545455 0.59666667 0.53393939 0.52424242 0.49606061
 0.44121212 0.4830303  0.56878788 0.46212121 0.49272727 0.5
 0.47575758 0.41424242 0.53939394 0.5130303  0.36787879 0.53818182
 0.45242424 0.45818182 0.57030303 0.54242424 0.55030303 0.50818182
 0.51545455 0.42757576 0.55393939 0.59363636 0.53636364 0.47454545
 0.45272727 0.59212121 0.42606061 0.59454545 0.46333333 0.52333333
 0.54515152 0.45242424 0.47545455 0.45848485]",0.0891089108910891,0.88,"[0.56       0.57333333 0.66666667 0.65333333 0.52       0.34666667
 0.37333333 0.58666667 0.46666667 0.53333333 0.54666667 0.46666667
 0.58666667 0.48       0.66666667 0.4        0.56       0.52
 0.4        0.62666667 0.57333333 0.46666667 0.66666667 0.64
 0.46666667 0.65333333 0.52       0.33333333 0.49333333 0.49333333
 0.49333333 0.69333333 0.68       0.53333333 0.65333333 0.90666667
 0.29333333 0.50666667 0.74666667 0.58666667 0.37333333 0.33333333
 0.46666667 0.44       0.33333333 0.30666667 0.49333333 0.54666667
 0.70666667 0.56       0.56       0.52       0.54666667 0.30666667
 0.44       0.54666667 0.48       0.62666667 0.56       0.54666667
 0.38666667 0.42666667 0.70666667 0.65333333 0.48       0.49333333
 0.46666667 0.50666667 0.42666667 0.45333333 0.56       0.44
 0.57333333 0.56       0.42666667 0.56       0.57333333 0.53333333
 0.68       0.50666667 0.56       0.54666667 0.49333333 0.69333333
 0.41333333 0.4        0.30666667 0.44       0.36       0.37333333
 0.61333333 0.62666667 0.57333333 0.6        0.44       0.49333333
 0.49333333 0.44       0.54666667 0.52      ]",0.019801980198019802
6,"29    0
62    1
36    0
45    0
8     1
0     0
70    0
60    1
56    0
51    0
25    0
40    1
2     0
30    1
61    1
72    0
39    1
4     1
50    0
6     0
23    1
3     1
13    0
19    1
28    0
64    0
46    0
66    0
16    1
24    0
34    1
21    1
49    0
32    0
44    1
43    0
54    0
55    1
1     0
69    1
71    0
63    1
57    0
42    0
14    0
22    0
68    1
48    0
27    0
7     1
5     1
17    0
12    1
9     1
37    1
53    1
52    0
65    0
Name: dep_group, dtype: int64",raw_words,binary,RF,0.6227272727272727,0.09777130790849503,0.01995748465502953,1.0,1.0,0.6,0.5,0.6227272727272727,"[0.53454545 0.55484848 0.56181818 0.52727273 0.49575758 0.59545455
 0.55333333 0.53878788 0.54636364 0.48969697 0.57606061 0.51333333
 0.50969697 0.55151515 0.59909091 0.57363636 0.50787879 0.53454545
 0.57424242 0.56121212 0.51636364 0.53060606 0.6069697  0.60151515
 0.52333333 0.55848485 0.55909091 0.59424242 0.52454545 0.49393939
 0.49969697 0.50090909 0.48       0.56454545 0.54333333 0.49666667
 0.54666667 0.49636364 0.52636364 0.53212121 0.55151515 0.54090909
 0.56636364 0.52090909 0.59242424 0.50606061 0.54060606 0.53181818
 0.51969697 0.50545455 0.52060606 0.62393939 0.5369697  0.54515152
 0.54636364 0.51363636 0.53515152 0.60151515 0.53030303 0.59242424
 0.60363636 0.57575758 0.54090909 0.55757576 0.54090909 0.49878788
 0.49969697 0.53454545 0.51666667 0.52363636 0.5        0.55030303
 0.46848485 0.51060606 0.5869697  0.5030303  0.55515152 0.59575758
 0.52787879 0.55030303 0.54818182 0.52636364 0.56363636 0.57484848
 0.55181818 0.48636364 0.51606061 0.63333333 0.50939394 0.48606061
 0.49969697 0.61090909 0.5130303  0.60636364 0.47424242 0.53515152
 0.56787879 0.51666667 0.50515152 0.53181818]",0.0297029702970297,0.8533333333333333,"[0.54666667 0.56       0.58666667 0.61333333 0.53333333 0.54666667
 0.52       0.53333333 0.65333333 0.49333333 0.65333333 0.48
 0.6        0.52       0.70666667 0.50666667 0.53333333 0.48
 0.56       0.62666667 0.53333333 0.44       0.6        0.56
 0.49333333 0.62666667 0.6        0.46666667 0.56       0.49333333
 0.56       0.78666667 0.61333333 0.56       0.61333333 0.69333333
 0.46666667 0.49333333 0.65333333 0.56       0.54666667 0.45333333
 0.57333333 0.52       0.52       0.44       0.6        0.50666667
 0.69333333 0.53333333 0.53333333 0.57333333 0.54666667 0.41333333
 0.50666667 0.62666667 0.53333333 0.61333333 0.68       0.54666667
 0.38666667 0.52       0.70666667 0.61333333 0.48       0.48
 0.54666667 0.52       0.48       0.48       0.57333333 0.38666667
 0.68       0.6        0.48       0.54666667 0.62666667 0.57333333
 0.57333333 0.50666667 0.44       0.57333333 0.49333333 0.68
 0.54666667 0.53333333 0.44       0.65333333 0.50666667 0.50666667
 0.65333333 0.54666667 0.56       0.65333333 0.49333333 0.56
 0.53333333 0.53333333 0.56       0.52      ]",0.009900990099009901
7,"29    0
62    1
36    0
45    0
8     1
0     0
70    0
60    1
56    0
51    0
25    0
40    1
2     0
30    1
61    1
72    0
39    1
4     1
50    0
6     0
23    1
3     1
13    0
19    1
28    0
64    0
46    0
66    0
16    1
24    0
34    1
21    1
49    0
32    0
44    1
43    0
54    0
55    1
1     0
69    1
71    0
63    1
57    0
42    0
14    0
22    0
68    1
48    0
27    0
7     1
5     1
17    0
12    1
9     1
37    1
53    1
52    0
65    0
Name: dep_group, dtype: int64",raw_words,binary,NB,0.606060606060606,0.11818181818181818,0.024123762618319177,0.8793103448275862,0.8842424242424243,0.6,0.638888888888889,0.606060606060606,"[0.52090909 0.51393939 0.56121212 0.50272727 0.43545455 0.64090909
 0.61545455 0.56666667 0.55727273 0.41151515 0.54666667 0.43727273
 0.51060606 0.44878788 0.53454545 0.53030303 0.45848485 0.52090909
 0.52969697 0.55515152 0.46060606 0.54181818 0.55848485 0.59969697
 0.40484848 0.53272727 0.52727273 0.52787879 0.57181818 0.41636364
 0.59393939 0.41060606 0.46787879 0.52060606 0.51818182 0.35242424
 0.56515152 0.43515152 0.46212121 0.49909091 0.52939394 0.53151515
 0.54       0.52060606 0.58151515 0.4269697  0.56545455 0.41636364
 0.49757576 0.54848485 0.44969697 0.68636364 0.47666667 0.58515152
 0.54848485 0.43727273 0.54030303 0.59575758 0.4969697  0.50545455
 0.62       0.59272727 0.57212121 0.53151515 0.49969697 0.45060606
 0.38939394 0.43       0.47818182 0.47818182 0.50393939 0.5269697
 0.44848485 0.37575758 0.58363636 0.53060606 0.44757576 0.55606061
 0.48363636 0.52333333 0.57878788 0.50242424 0.56969697 0.50757576
 0.53393939 0.5069697  0.53606061 0.54484848 0.50575758 0.40787879
 0.46727273 0.66727273 0.53454545 0.65030303 0.48272727 0.61969697
 0.5430303  0.45212121 0.46484848 0.47333333]",0.07920792079207921,0.6133333333333334,"[0.58666667 0.6        0.6        0.6        0.52       0.61333333
 0.6        0.6        0.53333333 0.58666667 0.62666667 0.58666667
 0.6        0.62666667 0.6        0.53333333 0.58666667 0.6
 0.57333333 0.56       0.58666667 0.6        0.61333333 0.54666667
 0.49333333 0.58666667 0.62666667 0.57333333 0.57333333 0.57333333
 0.58666667 0.65333333 0.64       0.6        0.58666667 0.6
 0.52       0.54666667 0.62666667 0.58666667 0.58666667 0.6
 0.57333333 0.6        0.58666667 0.54666667 0.52       0.62666667
 0.57333333 0.56       0.58666667 0.58666667 0.6        0.57333333
 0.6        0.6        0.57333333 0.62666667 0.6        0.58666667
 0.6        0.57333333 0.65333333 0.61333333 0.6        0.58666667
 0.61333333 0.6        0.46666667 0.50666667 0.61333333 0.62666667
 0.61333333 0.58666667 0.6        0.61333333 0.57333333 0.54666667
 0.56       0.58666667 0.6        0.57333333 0.6        0.58666667
 0.56       0.58666667 0.57333333 0.46666667 0.61333333 0.6
 0.52       0.6        0.50666667 0.6        0.61333333 0.6
 0.6        0.56       0.58666667 0.6       ]",0.1485148514851485
8,"29    0
62    1
36    0
45    0
8     1
0     0
70    0
60    1
56    0
51    0
25    0
40    1
2     0
30    1
61    1
72    0
39    1
4     1
50    0
6     0
23    1
3     1
13    0
19    1
28    0
64    0
46    0
66    0
16    1
24    0
34    1
21    1
49    0
32    0
44    1
43    0
54    0
55    1
1     0
69    1
71    0
63    1
57    0
42    0
14    0
22    0
68    1
48    0
27    0
7     1
5     1
17    0
12    1
9     1
37    1
53    1
52    0
65    0
Name: dep_group, dtype: int64",raw_words,binary,SVM,0.6424242424242425,0.09884549351697024,0.020176751874179978,1.0,1.0,0.6,0.5833333333333334,0.6424242424242425,"[0.57757576 0.58121212 0.58636364 0.4930303  0.47030303 0.58575758
 0.58242424 0.55878788 0.54727273 0.47242424 0.5169697  0.49515152
 0.53363636 0.47878788 0.52454545 0.56454545 0.40181818 0.56969697
 0.56272727 0.53       0.53151515 0.52484848 0.57333333 0.61
 0.45909091 0.53454545 0.58363636 0.57787879 0.54333333 0.38545455
 0.54545455 0.48757576 0.49151515 0.56878788 0.51363636 0.4
 0.58939394 0.50060606 0.4930303  0.49151515 0.53727273 0.51090909
 0.54787879 0.49212121 0.61636364 0.45515152 0.53333333 0.53454545
 0.5130303  0.52363636 0.52878788 0.57121212 0.5230303  0.54575758
 0.49545455 0.39575758 0.51727273 0.61666667 0.57484848 0.56212121
 0.62393939 0.63121212 0.57181818 0.55757576 0.52727273 0.49545455
 0.47787879 0.44393939 0.53666667 0.46090909 0.47515152 0.54787879
 0.50424242 0.44878788 0.58090909 0.54484848 0.45030303 0.55606061
 0.51727273 0.52939394 0.53424242 0.56818182 0.52878788 0.61666667
 0.53454545 0.47484848 0.55090909 0.61818182 0.43787879 0.46545455
 0.44212121 0.63393939 0.49393939 0.64484848 0.46393939 0.48212121
 0.54424242 0.43181818 0.47939394 0.49151515]",0.019801980198019802,0.7466666666666666,"[0.62666667 0.65333333 0.65333333 0.61333333 0.50666667 0.50666667
 0.48       0.62666667 0.57333333 0.54666667 0.57333333 0.52
 0.56       0.62666667 0.70666667 0.45333333 0.57333333 0.58666667
 0.42666667 0.61333333 0.57333333 0.56       0.65333333 0.57333333
 0.50666667 0.61333333 0.54666667 0.29333333 0.48       0.58666667
 0.45333333 0.65333333 0.65333333 0.61333333 0.70666667 0.72
 0.24       0.57333333 0.68       0.57333333 0.49333333 0.41333333
 0.54666667 0.44       0.32       0.34666667 0.61333333 0.58666667
 0.70666667 0.56       0.52       0.57333333 0.57333333 0.29333333
 0.53333333 0.64       0.57333333 0.65333333 0.58666667 0.58666667
 0.46666667 0.38666667 0.70666667 0.69333333 0.49333333 0.53333333
 0.53333333 0.54666667 0.48       0.52       0.6        0.45333333
 0.57333333 0.64       0.45333333 0.6        0.61333333 0.61333333
 0.57333333 0.58666667 0.53333333 0.49333333 0.52       0.66666667
 0.44       0.54666667 0.41333333 0.52       0.49333333 0.41333333
 0.65333333 0.61333333 0.57333333 0.62666667 0.53333333 0.58666667
 0.49333333 0.54666667 0.54666667 0.54666667]",0.009900990099009901
9,"29    0
62    1
36    0
45    0
8     1
0     0
70    0
60    1
56    0
51    0
25    0
40    1
2     0
30    1
61    1
72    0
39    1
4     1
50    0
6     0
23    1
3     1
13    0
19    1
28    0
64    0
46    0
66    0
16    1
24    0
34    1
21    1
49    0
32    0
44    1
43    0
54    0
55    1
1     0
69    1
71    0
63    1
57    0
42    0
14    0
22    0
68    1
48    0
27    0
7     1
5     1
17    0
12    1
9     1
37    1
53    1
52    0
65    0
Name: dep_group, dtype: int64",raw_words,binary,XGBoost,0.5696969696969697,0.8631825732427962,,1.0,1.0,0.6,0.5833333333333334,,,,,,
